Dlgs,Article,Comma number,Comma content
150/2009,Art. 41,1,"<div class=""art-comma-div-akn""><a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;1~art21"" target=""_blank""></a><div><a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;1~art21"" target=""_blank""></a><div class=""pointedList-first-akn""><a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;1~art21"" target=""_blank""><span class=""comma-num-akn"">1</span></a>. All'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;165~art21"" target=""_blank"">articolo 21 del decreto legislativo 30 marzo 2001, n. 165</a>, sono apportate le seguenti modifiche: </div><div class=""pointedList-rest-akn"">a) il comma 1 è sostituito dal seguente: «1. Il mancato raggiungimento degli obiettivi accertato attraverso le risultanze del sistema di valutazione di cui al Titolo II del decreto legislativo di attuazione della <a href=""/uri-res/N2Ls?urn:nir:stato:legge:2009-03-04;15"" target=""_blank"">legge 4 marzo 2009, n. 15</a>, in materia di ottimizzazione della produttività del lavoro pubblico e di efficienza e trasparenza delle pubbliche amministrazioni ovvero l'inosservanza delle direttive imputabili al dirigente comportano, previa contestazione e ferma restando l'eventuale responsabilità disciplinare secondo la disciplina contenuta nel contratto collettivo, l'impossibilità di rinnovo dello stesso incarico dirigenziale. In relazione alla gravità dei casi, l'amministrazione può inoltre, previa contestazione e nel rispetto del principio del contraddittorio, revocare l'incarico collocando il dirigente a disposizione dei ruoli di cui all'articolo 23 ovvero recedere dal rapporto di lavoro secondo le disposizioni del contratto collettivo.»;</div><div class=""pointedList-rest-akn"">b) dopo il comma 1, è inserito il seguente: «1-bis. Al di fuori dei casi di cui al comma 1, al dirigente nei confronti del quale sia stata accertata, previa contestazione e nel rispetto del principio del contraddittorio secondo le procedure previste dalla legge e dai contratti collettivi nazionali, la colpevole violazione del dovere di vigilanza sul rispetto, da parte del personale assegnato ai propri uffici, degli standard quantitativi e qualitativi fissati dall'amministrazione, conformemente agli indirizzi deliberati dalla Commissione di cui all'articolo 13 del decreto legislativo di attuazione della <a href=""/uri-res/N2Ls?urn:nir:stato:legge:2009-03-04;15"" target=""_blank"">legge 4 marzo 2009, n. 15</a>, in materia di ottimizzazione della produttività del lavoro pubblico e di efficienza e trasparenza delle pubbliche amministrazioni, la retribuzione di risultato è decurtata, sentito il Comitato dei garanti, in relazione alla gravità della violazione di una quota fino all'ottanta per cento.».</div></div></div>"
150/2009,Art. 42,1,"L'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;165~art22"" target=""_blank"">articolo 22 del decreto legislativo 30 marzo 2001, n.165</a>, è sostituito dal seguente: «Art. 22 (Comitato dei garanti). - 1. I provvedimenti di cui all'articolo 21, commi 1 e 1-bis, sono adottati sentito il Comitato dei garanti, i cui componenti, nel rispetto del principio di genere, sono nominati con decreto del Presidente del Consiglio dei Ministri.Il Comitato dura in carica tre anni e l'incarico non è rinnovabile. 2. Il Comitato dei garanti è composto da un consigliere della Corte dei conti, designato dal suo Presidente, e da quattro componenti designati rispettivamente, uno dal Presidente della Commissione di cui all'articolo 13 del decreto legislativo di attuazione della <a href=""/uri-res/N2Ls?urn:nir:stato:legge:2009-03-04;15"" target=""_blank"">legge 4 marzo 2009, n. 15</a>, in materia di ottimizzazione della produttività del lavoro pubblico, e di efficienza e trasparenza delle pubbliche amministrazioni, uno dal Ministro per la pubblica amministrazione e l'innovazione, scelto tra un esperto scelto tra soggetti con specifica qualificazione ed esperienza nei settori dell'organizzazione amministrativa e del lavoro pubblico, e due scelti tra dirigenti di uffici dirigenziali generali di cui almeno uno appartenente agli Organismi indipendenti di valutazione, estratti a sorte fra coloro che hanno presentato la propria candidatura. I componenti sono collocati fuori ruolo e il posto corrispondente nella dotazione organica dell'amministrazione di appartenenza è reso indisponibile per tutta la durata del mandato.Per la partecipazione al Comitato non è prevista la corresponsione di emolumenti o rimborsi spese. 3. Il parere del Comitato dei garanti viene reso entro il termine di quarantacinque giorni dalla richiesta; decorso inutilmente tale termine si prescinde dal parere.»."
150/2009,Art. 43,1,"Al terzo periodo del <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;165~art23-com1"" target=""_blank"">comma 1 dell'articolo 23 del decreto legislativo 30 marzo 2001, n. 165</a>, le parole: ""tre anni"" sono sostituite dalle seguenti: ""cinque anni""."
150/2009,Art. 43,2.,"Per i dirigenti ai quali sia stato conferito l'incarico di direzione di uffici dirigenziali generali o equivalenti prima della data di entrata in vigore del presente decreto, il termine di cui all'articolo 23, comma 1, terzo periodo, del <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001;165"" target=""_blank"">decreto legislativo n. 165 del 2001</a>, rimane fissato in tre anni.   --------------- Nota redazionale  Il testo del presente articolo è già integrato con le correzioni apportate dall'errata-corrige pubblicato in G.U. 10/11/2009, n. 262 durante il periodo di ""vacatio legis"".  È possibile visualizzare il testo originario accedendo alla versione pdf della relativa Gazzetta di pubblicazione."
150/2009,Art. 44,1,"<div class=""art-comma-div-akn""><a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;1~art23bis"" target=""_blank""></a><div><a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;1~art23bis"" target=""_blank""></a><div class=""pointedList-first-akn""><a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;1~art23bis"" target=""_blank""><span class=""comma-num-akn"">1</span></a>. All'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;165~art23bis"" target=""_blank"">articolo 23-bis del decreto legislativo 30 marzo 2001, n.165</a>, sono apportate le seguenti modificazioni: </div><div class=""pointedList-rest-akn"">a) al comma 1, le parole da: «possono» fino a «aspettativa» sono sostituite dalle seguenti: «sono collocati, salvo motivato diniego dell'amministrazione di appartenenza in ordine alle proprie preminenti esigenze organizzative, in aspettativa»;</div><div class=""pointedList-rest-akn"">b) al comma 2, in fine, sono aggiunte le seguenti parole: «in ordine alle proprie preminenti esigenze organizzative».</div></div></div>"
150/2009,Art. 45,1,"<div class=""art-comma-div-akn""><a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;1~art24"" target=""_blank""></a><div><a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;1~art24"" target=""_blank""></a><div class=""pointedList-first-akn""><a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;1~art24"" target=""_blank""><span class=""comma-num-akn"">1</span></a>. All'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;165~art24"" target=""_blank"">articolo 24 del decreto legislativo 30 marzo 2001, n. 165</a>, sono apportate le seguenti modifiche: </div><div class=""pointedList-rest-akn"">a) al comma 1, le parole: «e alle connesse responsabilità» sono sostituite dalle seguenti: «, alle connesse responsabilità e ai risultati conseguiti»;</div><div class=""pointedList-rest-akn"">b) dopo il comma 1 sono inseriti i seguenti: «1-bis. Il trattamento accessorio collegato ai risultati deve costituire almeno il 30 per cento della retribuzione complessiva del dirigente considerata al netto della retribuzione individuale di anzianità e degli incarichi aggiuntivi soggetti al regime dell'onnicomprensività. 1-ter. I contratti collettivi nazionali incrementano progressivamente la componente legata al risultato, in modo da adeguarsi a quanto disposto dal comma 1-bis, entro la tornata contrattuale successiva a quella decorrente dal 1° gennaio 2010, destinando comunque a tale componente tutti gli incrementi previsti per la parte accessoria della retribuzione. La disposizione di cui al comma 1-bis non si applica alla dirigenza del Servizio sanitario nazionale e dall'attuazione del medesimo comma non devono derivare nuovi o maggiori oneri per la finanza pubblica. 1-quater. La parte della retribuzione collegata al raggiungimento dei risultati della prestazione non può essere corrisposta al dirigente responsabile qualora l'amministrazione di appartenenza, decorso il periodo transitorio di sei mesi dalla data di entrata in vigore del decreto legislativo di attuazione della <a href=""/uri-res/N2Ls?urn:nir:stato:legge:2009-03-04;15"" target=""_blank"">legge 4 marzo 2009, n. 15</a>, in materia di ottimizzazione della produttività del lavoro pubblico e di efficienza e trasparenza delle pubbliche amministrazioni, non abbia predisposto il sistema di valutazione di cui al Titolo II del citato decreto legislativo.».</div></div></div>"
150/2009,Art. 46,1,"<div class=""art-comma-div-akn""><a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;1~art28"" target=""_blank""></a><div><a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;1~art28"" target=""_blank""></a><div class=""pointedList-first-akn""><a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;1~art28"" target=""_blank""><span class=""comma-num-akn"">1</span></a>. All'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;165~art28"" target=""_blank"">articolo 28 del decreto legislativo 30 marzo 2001, n. 165</a>, sono apportate le seguenti modificazioni:  </div><div class=""pointedList-rest-akn"">a) la rubrica è sostituita dalla seguente: ""Accesso alla qualifica di dirigente della seconda fascia""; </div><div class=""pointedList-rest-akn"">b) al comma 2 dopo le parole: ""o se in possesso del"" sono inserite le seguenti: ""dottorato di ricerca o del"".   --------------- Nota redazionale  Il testo del presente articolo è già integrato con le correzioni apportate dall'errata-corrige pubblicato in G.U. 10/11/2009, n. 262 durante il periodo di ""vacatio legis"".  È possibile visualizzare il testo originario accedendo alla versione pdf della relativa Gazzetta di pubblicazione. </div></div></div>"
150/2009,Art. 47,1,"Dopo l'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;165~art28"" target=""_blank"">articolo 28 del decreto legislativo 30 marzo 2001, n. 165</a>, è inserito il seguente: «Art. 28-bis (Accesso alla qualifica di dirigente della prima fascia). - 1. Fermo restando quanto previsto dall'articolo 19, comma 4, l'accesso alla qualifica di dirigente di prima fascia nelle amministrazioni statali, anche ad ordinamento autonomo, e negli enti pubblici non economici avviene, per il cinquanta per cento dei posti, calcolati con riferimento a quelli che si rendono disponibili ogni anno per la cessazione dal servizio dei soggetti incaricati, tramite concorso pubblico per titoli ed esami indetto dalle singole amministrazioni, sulla base di criteri generali stabiliti con decreto del Presidente del Consiglio dei Ministri, previo parere della Scuola superiore della pubblica amministrazione. 2. Nei casi in cui lo svolgimento dei relativi incarichi richieda specifica esperienza e peculiare professionalità, alla copertura di singoli posti e comunque di una quota non superiore alla metà di quelli da mettere a concorso ai sensi del comma 1 si può provvedere, con contratti di diritto privato a tempo determinato, attraverso concorso pubblico aperto ai soggetti in possesso dei requisiti professionali e delle attitudini manageriali corrispondenti al posto di funzione da coprire. I contratti sono stipulati per un periodo non superiore a tre anni. 3. Al concorso per titoli ed esami di cui al comma 1 possono essere ammessi i dirigenti di ruolo delle pubbliche amministrazioni, che abbiano maturato almeno cinque anni di servizio nei ruoli dirigenziali e gli altri soggetti in possesso di titoli di studio e professionali individuati nei bandi di concorso, con riferimento alle specifiche esigenze dell'Amministrazione e sulla base di criteri generali di equivalenza stabiliti con decreto del Presidente del Consiglio dei Ministri, previo parere della Scuola superiore della pubblica amministrazione, sentito il Ministro dell'istruzione, dell'università e della ricerca. A tale fine le amministrazioni che bandiscono il concorso tengono in particolare conto del personale di ruolo che ha esercitato per almeno cinque anni funzioni di livello dirigenziale generale all'interno delle stesse ovvero del personale appartenente all'organico dell'Unione europea in virtù di un pubblico concorso organizzato da dette istituzioni. 4. I vincitori del concorso di cui al comma 1 sono assunti dall'amministrazione e, anteriormente al conferimento dell'incarico, sono tenuti all'espletamento di un periodo di formazione presso uffici amministrativi di uno Stato dell'Unione europea o di un organismo comunitario o internazionale. In ogni caso il periodo di formazione è completato entro tre anni dalla conclusione del concorso. 5. La frequenza del periodo di formazione è obbligatoria ed è a tempo pieno, per una durata pari a sei mesi, anche non continuativi, e si svolge presso gli uffici di cui al comma 4, scelti dal vincitore tra quelli indicati dall'amministrazione. 6. Con regolamento emanato ai sensi dell'<a href=""/uri-res/N2Ls?urn:nir:stato:legge:1988-08-23;400~art17-com1"" target=""_blank"">articolo 17, comma 1, della legge 23 agosto 1988, n. 400</a>, su proposta del Ministro per la pubblica amministrazione e l'innovazione, di concerto con il Ministro dell'economia e delle finanze, e sentita la Scuola superiore della pubblica amministrazione, sono disciplinate le modalità di compimento del periodo di formazione, tenuto anche conto di quanto previsto nell'articolo 32. 7. Al termine del periodo di formazione è prevista, da parte degli uffici di cui al comma 4, una valutazione del livello di professionalità acquisito che equivale al superamento del periodo di prova necessario per l'immissione in ruolo di cui all'articolo 70, comma 13. 8. Le spese sostenute per l'espletamento del periodo di formazione svolto presso le sedi estere di cui al comma 4 sono a carico delle singole amministrazioni nell'ambito delle risorse finanziarie disponibili a legislazione vigente.»."
150/2009,Art. 48,1.,"Dopo l'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;165~art29"" target=""_blank"">articolo 29 del decreto legislativo 30 marzo 2001, n. 165</a>, nel Capo III, è inserito il seguente: «Art. 29-bis (Mobilità intercompartimentale). - 1. Al fine di favorire i processi di mobilità fra i comparti di contrattazione del personale delle pubbliche amministrazioni, con decreto del Presidente del Consiglio dei Ministri, su proposta del Ministro per la pubblica amministrazione e l'innovazione, di concerto con il Ministro dell'economia e delle finanze, previo parere della Conferenza unificata di cui all'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1997;281~art8"" target=""_blank"">articolo 8 del decreto legislativo n. 281 del 1997</a>, sentite le Organizzazioni sindacali è definita, senza nuovi o maggiori oneri per la finanza pubblica, una tabella di equiparazione fra i livelli di inquadramento previsti dai contratti collettivi relativi ai diversi comparti di contrattazione.»."
150/2009,Art. 49,1.,"Il <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;165~art30-com1"" target=""_blank"">comma 1 dell'articolo 30 del decreto legislativo 30 marzo 2001, n. 165</a>, è sostituito dal seguente: ""1. Le amministrazioni possono ricoprire posti vacanti in organico mediante cessione del contratto di lavoro di dipendenti appartenenti alla stessa qualifica in servizio presso altre amministrazioni, che facciano domanda di trasferimento. Le amministrazioni devono in ogni caso rendere pubbliche le disponibilità dei posti in organico da ricoprire attraverso passaggio diretto di personale da altre amministrazioni, fissando preventivamente i criteri di scelta. Il trasferimento è disposto previo parere favorevole dei dirigenti responsabili dei servizi e degli uffici cui il personale è o sarà assegnato sulla base della professionalità in possesso del dipendente in relazione al posto ricoperto o da ricoprire.""."
150/2009,Art. 49,2.,"Dopo il comma 1 dell'articolo 30 del citato <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001;165"" target=""_blank"">decreto legislativo n. 165 del 2001</a>, è inserito il seguente: ""1-bis. Fermo restando quanto previsto al comma 2, con decreto del Ministro per la pubblica amministrazione e l'innovazione, di concerto con il Ministro dell'economia e delle finanze e previa intesa con la conferenza unificata, sentite le confederazioni sindacali rappresentative, sono disposte le misure per agevolare i processi di mobilità, anche volontaria, per garantire l'esercizio delle funzioni istituzionali da parte delle amministrazioni che presentano carenze di organico."".   --------------- Nota redazionale  Il testo del presente articolo è già integrato con le correzioni apportate dall'errata-corrige pubblicato in G.U. 10/11/2009, n. 262 durante il periodo di ""vacatio legis"".  È possibile visualizzare il testo originario accedendo alla versione pdf della relativa Gazzetta di pubblicazione."
150/2009,Art. 50,1,"All'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;165~art33"" target=""_blank"">articolo 33 del decreto legislativo 30 marzo 2001, n. 165</a>, dopo il comma 1 è inserito il seguente: «1-bis. La mancata individuazione da parte del dirigente responsabile delle eccedenze delle unità di personale, ai sensi del comma 1, è valutabile ai fini della responsabilità per danno erariale.»."
150/2009,Art. 51,1.,"All'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;165~art35"" target=""_blank"">articolo 35 del decreto legislativo 30 marzo 2001, n. 165</a>, al comma 5-ter è aggiunto, in fine, il seguente periodo: «Il principio della parità di condizioni per l'accesso ai pubblici uffici è garantito, mediante specifiche disposizioni del bando, con riferimento al luogo di residenza dei concorrenti, quando tale requisito sia strumentale all'assolvimento di servizi altrimenti non attuabili o almeno non attuabili con identico risultato.»."
150/2009,Art. 52,1,"<div class=""art-comma-div-akn""><a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;1~art53"" target=""_blank""></a><div><a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;1~art53"" target=""_blank""></a><div class=""pointedList-first-akn""><a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;1~art53"" target=""_blank""><span class=""comma-num-akn"">1</span></a>. All'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;165~art53"" target=""_blank"">articolo 53 del decreto legislativo 30 marzo 2001, n. 165</a>, sono apportate le seguenti modificazioni:  </div><div class=""pointedList-rest-akn"">a) dopo il comma 1, è inserito il seguente:  ""1-bis. Non possono essere conferiti incarichi di direzione di strutture deputate alla gestione del personale a soggetti che rivestano o abbiano rivestito negli ultimi due anni cariche in partiti politici o in organizzazioni sindacali o che abbiano avuto negli ultimi due anni rapporti continuativi di collaborazione o di consulenza con le predette organizzazioni.""; </div><div class=""pointedList-rest-akn"">b) il comma 16-bis è sostituto dal seguente: ""16-bis. La Presidenza del Consiglio dei Ministri - Dipartimento della funzione pubblica può disporre verifiche del rispetto delle disposizioni del presente articolo e dell' <a href=""/uri-res/N2Ls?urn:nir:stato:legge:1996-12-23;662~art1-com56"" target=""_blank"">articolo 1, commi 56 e seguenti, della legge 23 dicembre 1996, n. 662</a>, per il tramite dell'Ispettorato per la funzione pubblica. A tale fine quest'ultimo opera d'intesa con i Servizi ispettivi di finanza pubblica del Dipartimento della Ragioneria generale dello Stato."".   --------------- Nota redazionale  Il testo del presente articolo è già integrato con le correzioni apportate dall'errata-corrige pubblicato in G.U. 10/11/2009, n. 262 durante il periodo di ""vacatio legis"".  È possibile visualizzare il testo originario accedendo alla versione pdf della relativa Gazzetta di pubblicazione. </div></div></div>"
150/2009,Art. 53,1.,"Il presente capo reca disposizioni in materia di contrattazione collettiva e integrativa e di funzionalità delle amministrazioni pubbliche, al fine di conseguire, in coerenza con il modello contrattuale sottoscritto dalle parti sociali, una migliore organizzazione del lavoro e di assicurare il rispetto della ripartizione tra le materie sottoposte alla legge, nonché, sulla base di questa, ad atti organizzativi e all'autonoma determinazione dei dirigenti, e quelle sottoposte alla contrattazione collettiva."
150/2009,Art. 54,1,"All'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001;165~art40"" target=""_blank"">articolo 40 del decreto legislativo n. 165 del 2001</a>, i commi da 1 a 3 sono sostituiti dai seguenti: «1. La contrattazione collettiva determina i diritti e gli obblighi direttamente pertinenti al rapporto di lavoro, nonché le materie relative alle relazioni sindacali. Sono, in particolare, escluse dalla contrattazione collettiva le materie attinenti all'organizzazione degli uffici, quelle oggetto di partecipazione sindacale ai sensi dell'articolo 9, quelle afferenti alle prerogative dirigenziali ai sensi degli articoli 5, comma 2, 16 e 17, la materia del conferimento e della revoca degli incarichi dirigenziali, nonché quelle di cui all'<a href=""/uri-res/N2Ls?urn:nir:stato:legge:1992-10-23;421~art2-com1-letc"" target=""_blank"">articolo 2, comma 1, lettera c), della legge 23 ottobre 1992, n. 421</a>. Nelle materie relative alle sanzioni disciplinari, alla valutazione delle prestazioni ai fini della corresponsione del trattamento accessorio, della mobilità e delle progressioni economiche, la contrattazione collettiva è consentita negli esclusivi limiti previsti dalle norme di legge. 2. Tramite appositi accordi tra l'ARAN e le Confederazioni rappresentative, secondo le procedure di cui agli articoli 41, comma 5, e 47, senza nuovi o maggiori oneri per la finanza pubblica, sono definiti fino a un massimo di quattro comparti di contrattazione collettiva nazionale, cui corrispondono non più di quattro separate aree per la dirigenza.Una apposita sezione contrattuale di un'area dirigenziale riguarda la dirigenza del ruolo sanitario del Servizio sanitario nazionale, per gli effetti di cui all'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1992-12-30;502~art15"" target=""_blank"">articolo 15 del decreto legislativo 30 dicembre 1992, n. 502</a>, e successive modificazioni. Nell'ambito dei comparti di contrattazione possono essere costituite apposite sezioni contrattuali per specifiche professionalità. 3. La contrattazione collettiva disciplina, in coerenza con il settore privato, la struttura contrattuale, i rapporti tra i diversi livelli e la durata dei contratti collettivi nazionali e integrativi.La durata viene stabilita in modo che vi sia coincidenza fra la vigenza della disciplina giuridica e di quella economica. 3-bis. Le pubbliche amministrazioni attivano autonomi livelli di contrattazione collettiva integrativa, nel rispetto dell'articolo 7, comma 5, e dei vincoli di bilancio risultanti dagli strumenti di programmazione annuale e pluriennale di ciascuna amministrazione. La contrattazione collettiva integrativa assicura adeguati livelli di efficienza e produttività dei servizi pubblici, incentivando l'impegno e la qualità della performance ai sensi dell'articolo 45, comma 3. A tale fine destina al trattamento economico accessorio collegato alla performance individuale una quota prevalente del trattamento accessorio complessivo comunque denominato Essa si svolge sulle materie, con i vincoli e nei limiti stabiliti dai contratti collettivi nazionali, tra i soggetti e con le procedure negoziali che questi ultimi prevedono; essa può avere ambito territoriale e riguardare più amministrazioni. I contratti collettivi nazionali definiscono il termine delle sessioni negoziali in sede decentrata.Alla scadenza del termine le parti riassumono le rispettive prerogative e libertà di iniziativa e decisione. 3-ter. Al fine di assicurare la continuità e il migliore svolgimento della funzione pubblica, qualora non si raggiunga l'accordo per la stipulazione di un contratto collettivo integrativo, l'amministrazione interessata può provvedere, in via provvisoria, sulle materie oggetto del mancato accordo, fino alla successiva sottoscrizione. Agli atti adottati unilateralmente si applicano le procedure di controllo di compatibilità economico-finanziaria previste dall'articolo 40-bis. 3-quater. La Commissione di cui all'articolo 13 del decreto legislativo di attuazione della <a href=""/uri-res/N2Ls?urn:nir:stato:legge:2009-03-04;15"" target=""_blank"">legge 4 marzo 2009, n. 15</a>, in materia di ottimizzazione della produttività del lavoro pubblico e di efficienza e trasparenza delle pubbliche amministrazioni, fornisce, entro il 31 maggio di ogni anno, all'ARAN una graduatoria di performance delle amministrazioni statali e degli enti pubblici nazionali. Tale graduatoria raggruppa le singole amministrazioni, per settori, su almeno tre livelli di merito, in funzione dei risultati di performance ottenuti. La contrattazione nazionale definisce le modalità di ripartizione delle risorse per la contrattazione decentrata tra i diversi livelli di merito assicurando l'invarianza complessiva dei relativi oneri nel comparto o nell'area di contrattazione. 3-quinquies. La contrattazione collettiva nazionale dispone, per le amministrazioni di cui al comma 3 dell'articolo 41, le modalità di utilizzo delle risorse indicate all'articolo 45, comma 3-bis, individuando i criteri e i limiti finanziari entro i quali si deve svolgere la contrattazione integrativa. Le regioni, per quanto concerne le proprie amministrazioni, e gli enti locali possono destinare risorse aggiuntive alla contrattazione integrativa nei limiti stabiliti dalla contrattazione nazionale e nei limiti dei parametri di virtuosità fissati per la spesa di personale dalle vigenti disposizioni, in ogni caso nel rispetto dei vincoli di bilancio e del patto di stabilità e di analoghi strumenti del contenimento della spesa. Lo stanziamento delle risorse aggiuntive per la contrattazione integrativa è correlato all'affettivo rispetto dei principi in materia di misurazione, valutazione e trasparenza della performance e in materia di merito e premi applicabili alle regioni e agli enti locali secondo quanto previsto dagli articoli 16 e 31 del decreto legislativo di attuazione della <a href=""/uri-res/N2Ls?urn:nir:stato:legge:2009-03-04;15"" target=""_blank"">legge 4 marzo 2009, n. 15</a>, in materia di ottimizzazione della produttività del lavoro pubblico e di efficienza e trasparenza delle pubbliche amministrazioni. Le pubbliche amministrazioni non possono in ogni caso sottoscrivere in sede decentrata contratti collettivi integrativi in contrasto con i vincoli e con i limiti risultanti dai contratti collettivi nazionali o che disciplinano materie non espressamente delegate a tale livello negoziale ovvero che comportano oneri non previsti negli strumenti di programmazione annuale e pluriennale di ciascuna amministrazione. Nei casi di violazione dei vincoli e dei limiti di competenza imposti dalla contrattazione nazionale o dalle norme di legge, le clausole sono nulle, non possono essere applicate e sono sostituite ai sensi degli <a href=""/uri-res/N2Ls?urn:nir:stato:codice.civile:1942-03-16;262~art1339"" target=""_blank"">articoli 1339</a> e <a href=""/uri-res/N2Ls?urn:nir:stato:codice.civile:1942-03-16;262~art1419-com2"" target=""_blank"">1419, secondo comma, del codice civile</a>. In caso di accertato superamento di vincoli finanziari da parte delle sezioni regionali di controllo della Corte dei conti, del Dipartimento della funzione pubblica o del Ministero dell'economia e delle finanze è fatto altresì obbligo di recupero nell'ambito della sessione negoziale successiva. Le disposizioni del presente comma trovano applicazione a decorrere dai contratti sottoscritti successivamente alla data di entrata in vigore del decreto legislativo di attuazione della <a href=""/uri-res/N2Ls?urn:nir:stato:legge:2009-03-04;15"" target=""_blank"">legge 4 marzo 2009, n. 15</a>, in materia di ottimizzazione della produttività del lavoro pubblico e di efficienza e trasparenza delle pubbliche amministrazioni. 3-sexies. A corredo di ogni contratto integrativo le pubbliche amministrazioni, redigono una relazione tecnico-finanziaria ed una relazione illustrativa, utilizzando gli schemi appositamente predisposti e resi disponibili tramite i rispettivi siti istituzionalidal Ministero dell'economia e delle finanze di intesa con il Dipartimento della funzione pubblica. Tali relazioni vengono certificate dagli organi di controllo di cui all'articolo 40-bis, comma 1.»."
